Referral Quarter,Alternative action,Case accepted,Case declined,Total,
2017 Q1,55,1215,307,1577,
2017 Q2,66,1426,292,1784,
2017 Q3,62,1481,220,1763,
2017 Q4,80,1377,225,1682,
2018 Q1,72,1440,228,1740,
2018 Q2,107,1406,264,1777,
2018 Q3,87,1315,251,1653,
2018 Q4,94,1367,267,1728,
2019 Q1,86,1258,200,1544,
2019 Q2,91,1341,223,1655,
2019 Q3,92,1577,236,1905,
2019 Q4,81,1371,211,1663,
2020 Q1,80,1315,208,1603,
2020 Q2,83,1012,233,1328,
2020 Q3,124,1259,270,1653,
2020 Q4,105,1212,288,1605,
2021 Q1,121,1096,261,1478,
2021 Q2,129,1018,243,1390,
2021 Q3,102,1064,284,1450,
2021 Q4,89,1051,227,1367,
2022 Q1,117,1071,225,1413,
2022 Q2,166,1113,342,1621,
2022 Q3,136,1113,336,1585,
2022 Q4,148,981,348,1477,
2023 Q1,163,894,296,1353,
2023 Q2,136,993,406,1535,
2023 Q3,204,982,361,1547,
2023 Q4,181,927,414,1522,
2024 Q1,173,1044,402,1619,
2024 Q2,147,978,341,1466,
2024 Q3,197,1065,299,1561,
